y,x,x^2,x^3,x^4,x^5,x^6,x^7,x^8,x^9,x^10,x^11,x^12,x^13,x^14,x^15,x^16,x^17,x^18,x^19,x^20
-186.36025694818125,9.411974327607545,88.5852607435435,833.762199922652,7847.34842100159,73859.04187825858,695159.4060198603,6542822.483053835,61580877.24059615,579597635.6600428,5455158067.174354,51343807681.28622,483246599777.88495,4548304591013.092,42808526044754.75,402912748135950.7,3792204441721373.0,3.5692130850520864e+16,3.359334192627117e+17,3.161796717886064e+18,2.9758749537857434e+19
-196.72120250558947,1.3936949391743312,1.9423855834801427,2.7070929576214553,3.7728617549114944,5.258218334024535,7.328352281203678,10.213487486800231,14.234485821673841,19.838530851415605,27.64886004827176,38.53407632321571,53.70474715742316,74.84803432293769,104.3153266430249,145.3837428207011,202.6205866074336,282.39128612731446,393.5673063425687,548.5127630741117,764.4594619689184
88.04075961601359,8.125622614206737,66.02574286850792,536.5002693721472,4359.398721338325,35422.82883445063,287832.5390363865,2338818.5882986053,19004357.211606223,154422234.72709042,1254776802.6347868,10195842763.271248,82847570528.13295,673188092615.4847,5470072388971.082,44447743905171.29,361165593026329.5,2934695310168130.0,2.3846226578108612e+16,1.9376543794657706e+17,1.5744648244303788e+18
4.287231672979566,-0.45206775034625934,0.20436525090312788,-0.09238693922472586,0.041765155776698405,-0.018880680014833125,0.00853534653931319,-0.003858554908453044,0.001744328237051884,-0.0007885545419895019,0.000356480077822519,-0.00016115314682448563,7.285214054616565e-05,-3.2934103284614605e-05,1.4888445981547076e-05,-6.730586281029792e-06,3.0426809985765342e-06,-1.3754979540478038e-06,6.21818265692273e-07,-2.8110398449571846e-07,1.270780458843492e-07
-1773.6851484155422,-14.126653089818468,199.56232752007767,-2819.1477706728706,39825.122565230755,-562595.6907385163,7947594.152889815,-112272905.49654411,1586040387.3356516,-22405442338.332066,316513911237.54816,-4471282222154.438,63164252819048.38,-892299487252284.8,1.2605205308635924e+16,-1.7806936252103782e+17,2.515524110259824e+18,-3.55359364447148e+19,5.02003846376323e+20,-7.091634187512839e+21,1.0018105600689053e+23
-649.3862323278486,-12.404229347933846,153.86490571614334,-1908.5755791012593,23674.409211037677,-293662.8015305489,3642660.741141707,-45184399.26983642,560477651.4916656,-6952293333.493957,86237841002.77057,-1069713958269.0194,13268977275055.053,-164591437332305.16,2041629937375994.0,-2.5324845986819644e+16,3.141351978216129e+17,-3.896605040037855e+18,4.833438259494451e+19,-5.995507670984735e+20,7.436965220819135e+21
-861.7191408009219,-11.6563856286593,135.87132592401508,-1583.7685708475733,18461.017208349935,-215188.7356778422,2508322.886004565,-29237978.840460833,340809156.36699235,-3972602952.3917103,46306191962.62824,-539762830511.11865,6291683700454.27,-73338291466045.11,854859406675235.4,-9964570902493430.0,1.1615088106358106e+17,-1.353899460785642e+18,1.5781574217351334e+19,-1.8395611490475423e+20,2.1442634140797764e+21
110.95217973146552,-7.46264664928357,55.6910950120633,-415.6029635867071,3101.4980636426617,-23145.384132402392,172725.82334205383,-1288991.7868083238,9619290.23877918,-71785364.06891161,535708806.6364644,-3997805530.8373113,29834210049.190384,-222642167657.61285,1661499826459.3154,-12399186112711.844,92530744697872.42,-690524251875291.1,5153138494506185.0,-3.845605171932077e+16,2.869839255078648e+17
976.9331144744872,13.947458775790949,194.53160630238796,2713.2215594909508,37842.54585058727,527807.3482220448,7361571.230886507,102675211.2678382,1432058276.4537995,19973573775.369606,278580596837.18677,3885491390121.901,54192730987415.88,755850881394511.8,1.0542199008895206e+16,1.4703688608275008e+17,2.0507909071598267e+18,2.8603321635378606e+19,3.9894364936013244e+20,5.564250103314047e+21,7.760714893416319e+22
-420.7547357697878,3.952981582132363,15.62606338867768,61.76954077667569,244.173857026973,965.2147596658451,3815.476167761401,15082.507018225788,59620.872455428645,235680.21072697215,931639.5322767951,3682753.91227658,14557858.386755226,57546946.07813457,227482017.95483014,899232227.2417471,3554648432.34649,14051459784.021353,55545161728.31,219569001288.57285,867952218100.9255
